joined,kind,link,location,market,name,,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric,followers,following
8/1/2015,Startup,https://angel.co/company/atomite-2,New York City,Advertising Exchanges,Atomite,,300000,10-Jan,Seed,Atomite.net,4.375342466,68566.06137,0,0,5,0,0
8/1/2013,Startup,https://angel.co/company/atricare,Amersfoort,Educational Games,Atricare,,500000,10-Jan,Seed,atricare.nl,6.375342466,78427.15943,0,0,5,60,209
1/1/2015,Startup,https://angel.co/company/attentive,Boulder,Developer APIs,Attentive,,230000,Nov-50,Seed,attentive.us,4.956164384,46406.85462,0,0,25,308,245
9/1/2013,Startup,https://angel.co/company/atterley-road,London,Fashion,Atterley Road,,6000000,10-Jan,Seed,atterleyroad.com,6.290410959,953832.7526,1,0,5,0,0
5/1/2015,Startup,https://angel.co/company/attest,London,B2B · SaaS · Mobile · Artificial Intelligence / Machine Learning,Attest,,19300000,51-200,Series A,askattest.com,4.62739726,4170811.131,1,1,125,1360,434
3/1/2012,Startup,https://angel.co/company/atticous,Dallas,,Atticous,,75000,10-Jan,Seed,attico.us,7.794520548,9622.144112,0,0,5,76,3
6/1/2015,Startup,https://angel.co/company/attivio,Boston,Big Data Analytics,Attivio,,59200000,51-200,Series A,attivio.com,4.542465753,13032569.36,1,1,125,2614,2243
8/1/2014,Startup,https://angel.co/company/audiotrip,Poland,Travel & Tourism,AudioTrip,,250000,10-Jan,Seed,audiotrip.org,5.375342466,46508.66463,0,0,5,234,431
10/1/2015,Startup,https://angel.co/company/aulaeducation,Remote,Communications Software,Aula,,4760000,51-200,Seed,aula.education,4.208219178,1131119.792,1,0,125,1435,993
5/1/2016,Startup,https://angel.co/company/auto-expert,Karachi,Mobile Commerce,Auto Expert,,140000,Nov-50,Seed,autoexpert.pk,3.624657534,38624.33862,0,0,25,6,92
5/1/2014,Startup,https://angel.co/company/avaamo-1,Los Altos,Banking,Avaamo,,20500000,51-200,Series A,avaamo.com,5.62739726,3642891.918,1,1,125,3941,2714
7/1/2012,Startup,https://angel.co/company/helloavail,Chicago,Rental Housing,Avail,,5438000,Nov-50,Seed,avail.co,7.460273973,728927.6533,1,0,25,2217,4321
8/1/2014,Startup,https://angel.co/company/availendar,New York City,Business Services,Availendar,,50000,10-Jan,Seed,availendar.com,5.375342466,9301.732926,0,0,5,199,613
8/1/2013,Startup,https://angel.co/company/avanoo,San Francisco,Training,Avanoo,,8350000,Nov-50,Series A,avanoo.com,6.375342466,1309733.563,1,0,25,0,0
2/1/2014,Startup,https://angel.co/company/avhana-health,Baltimore,Electronic Health Records,Avhana Health,,800000,10-Jan,Seed,avhana.com,5.871232877,136257.5828,0,0,5,357,344
10/1/2013,Startup,https://angel.co/company/avrio-solutions-company,Hong Kong,K-12 Education,Avrio solutions company,,500000,10-Jan,Seed,Www.avrio.hk,6.208219178,80538.39365,0,0,5,0,0
2/1/2013,Startup,https://angel.co/company/awesweet,Buffalo,Photo Sharing,AweSweet!,,50000,10-Jan,Seed,awesweet.com,6.871232877,7276.714514,0,0,5,14,106
3/1/2015,Startup,https://angel.co/company/awesomebox,San Francisco,Crowdsourcing,AwesomeBox,,343000,10-Jan,Seed,awesomebox.com,4.794520548,71540,0,0,5,1841,64
4/1/2012,Startup,https://angel.co/company/axwave,San Francisco,Mobile Advertising,Axwave,,1000000,Nov-50,Seed,axwave.com,7.709589041,129708.5999,0,0,25,128,287
3/1/2013,Startup,https://angel.co/company/azimo,Kraków,Mobile Payments,Azimo,,66000000,51-200,Seed,azimo.com,6.794520548,9713709.677,1,1,125,12700,8215
6/1/2013,Startup,https://angel.co/company/babybe,Edinburgh,Medical Devices,BABYBE,,530000,10-Jan,Series A,babybemedical.com,6.542465753,81009.21273,0,0,5,314,265
9/1/2013,Startup,https://angel.co/company/big-data-exchange,Seattle,Identity Management,BDEX,,1500000,Nov-50,Seed,bdex.com,6.290410959,238458.1882,0,0,25,927,3495
9/1/2013,Startup,https://angel.co/company/biogeniq-1,Montreal,Nutrition,BIOGENIQ,,980000,10-Jan,Seed,BIOGENIQ.ca,6.290410959,155792.6829,0,0,5,375,394
10/1/2012,Startup,https://angel.co/company/bipbop,Ilhabela,Information Services,BIPBOP,,160000,10-Jan,Seed,bipbop.com.br,7.208219178,22196.88331,0,0,5,0,0
1/1/2013,Startup,https://angel.co/company/bizzby,London,Location Based Services,BIZZBY,,10000000,10-Jan,Series A,bizzby.com,6.956164384,1437573.848,1,0,5,6208,2944
6/1/2014,Startup,https://angel.co/company/blade,Miami,New York,BLADE Urban Air Mobility,,44000000,51-200,Series A,flyblade.com,5.542465753,7938704.894,1,1,125,4007,384
12/1/2015,Startup,https://angel.co/company/bluewavetech,Gainesville,Medical Devices,BLUEWAVE Technologies,,615000,10-Jan,Seed,bluewave.tech,4.04109589,152186.4407,0,0,5,33,21
6/1/2014,Startup,https://angel.co/company/brandwood-global,Nashville,Advertising Platforms,BRANDWOOD GLOBAL,,630000,10-Jan,Seed,BrandwoodGlobal.com,5.542465753,113667.8201,0,0,5,1107,1958
11/1/2014,Startup,https://angel.co/company/brdhq,Bend,Mobile Payments,BRD (formerly breadwallet),,48200000,51-200,Series A,brd.com,5.123287671,9408021.39,1,1,125,41600,1
12/1/2013,Startup,https://angel.co/company/btc-sm,Haifa,Finance Technology,BTC-SM,,5000,10-Jan,Seed,btc-sm.com,6.04109589,827.6643991,0,0,5,0,0
7/1/2011,Startup,https://angel.co/company/babelverse,London,Crowdsourcing,Babelverse,,190000,10-Jan,Seed,babelverse.com,8.463013699,22450.63127,0,0,5,2538,2324
3/1/2013,Startup,https://angel.co/company/babyscripts-by-1eq,Washington DC,Hospitals,Babyscripts,,19000000,Nov-50,Series A,babyscripts.com,6.794520548,2796370.968,1,1,25,753,484
5/1/2015,Startup,https://angel.co/company/back4app,Sunnyvale,Developer APIs,Back4App,,450000,Nov-50,Seed,back4app.com,4.62739726,97246.89165,0,0,25,3189,162
5/1/2015,Startup,https://angel.co/company/badi-2,Barcelona,Rental Housing,Badi,,14300000,51-200,Series A,badi.com,4.62739726,3090290.112,1,1,125,2252,1626
4/1/2016,Startup,https://angel.co/company/badoo,London,Social Media Platforms,Badoo,,30000000,201-500,Series A,team.badoo.com,3.706849315,8093126.386,1,1,350,244800,665
11/1/2015,Startup,https://angel.co/company/bairo,Tampa,SaaS,Bairo,,125000,Nov-50,Seed,bairocorp.com,4.123287671,30315.61462,0,0,25,1759,365
5/1/2014,Startup,https://angel.co/company/balcony,Austin,Reviews and Recommendations,Balcony,,250000,10-Jan,Seed,balcony.com,5.62739726,44425.5112,0,0,5,2904,1203
9/1/2013,Startup,https://angel.co/company/band-industries,Seattle,Consumer Electronics,Band Industries,,1500000,Nov-50,Seed,roadietuner.com,6.290410959,238458.1882,0,0,25,7,0
3/1/2014,Startup,https://angel.co/company/bantertv,San Francisco,Advertising Platforms,BanterTV,,350000,10-Jan,Seed,thebanterapp.com,5.794520548,60401.89125,0,0,5,1017,847
11/1/2013,Startup,https://angel.co/company/baremetrics,Birmingham,Business Analytics,Baremetrics,,500000,10-Jan,Seed,baremetrics.com,6.123287671,81655.48098,0,0,5,6700,1650
3/1/2015,Startup,https://angel.co/company/barn2door,United States,Food Tech,"Barn2Door, Inc.",,845000,Nov-50,Seed,barn2door.com,4.794520548,176242.8571,0,0,25,0,0
11/1/2014,Startup,https://angel.co/company/barricade,Austin,Technology,Barricade,,1200000,Nov-50,Seed,barricade.io,5.123287671,234224.5989,0,0,25,701,219
10/1/2013,Startup,https://angel.co/company/baton,Oklahoma City,Productivity Software,Baton,,110000,10-Jan,Seed,batonapp.com,6.208219178,17718.4466,0,0,5,114,0
5/1/2013,Startup,https://angel.co/company/battlefy,Vancouver,Fantasy Sports,Battlefy,,3700000,Nov-50,Seed,battlefy.com,6.62739726,558288.549,1,0,25,33400,8857
9/1/2016,Startup,https://angel.co/company/battlejunglecom,Budapest,Human Resources,Battlejungle,,200000,Nov-50,Seed,battlejungle.com,3.287671233,60833.33333,0,0,25,18,8
8/1/2013,Startup,https://angel.co/company/beacon-me,Philadelphia,iPhone,Beacon Me,,75000,10-Jan,Seed,gobeacon.me,6.375342466,11764.07391,0,0,5,0,0
10/1/2014,Startup,https://angel.co/company/beam-messenger,Toronto,Messaging,Beam Propulsion Lab,,450000,10-Jan,Seed,beammessenger.com,5.208219178,86401.89374,0,0,5,288,53
3/1/2013,Startup,https://angel.co/company/beanbag,Palo Alto,Developer Tools,Beanbag,,500000,10-Jan,Seed,beanbaginc.com,6.794520548,73588.70968,0,0,5,0,0
4/1/2013,Startup,https://angel.co/company/beanworks-solutions-inc,Vancouver,B2B,Beanworks Solutions,,545000,Nov-50,Seed,beanworks.com,6.709589041,81227.03144,0,0,25,1030,806
10/1/2012,Startup,https://angel.co/company/beaucoo,Calgary,Fashion,BeauCoo,,1200000,10-Jan,Seed,beaucoo.com,7.208219178,166476.6249,0,0,5,0,0
9/1/2012,Startup,https://angel.co/company/beautydate,Curitiba,Beauty,Beauty Date,,7600000,51-200,Series A,beautydate.com,7.290410959,1042465.239,1,0,125,829,695
9/1/2014,Startup,https://angel.co/company/becomethegamer,Winnipeg,Training,BecomeTheGamer,,80000,10-Jan,Seed,dota2.becomethegamer.com,5.290410959,15121.6986,0,0,5,222,83
10/1/2012,Startup,https://angel.co/company/bedabroad,Los Angeles,Rental Housing,BedAbroad,,20000,10-Jan,Seed,bedabroad.com,7.208219178,2774.610414,0,0,5,684,120
5/1/2014,Startup,https://angel.co/company/bee-cave-games,Austin,Mobile Games,Bee Cave Games,,10100000,Nov-50,Series A,beecavegames.com,5.62739726,1794790.652,1,0,25,0,0
11/1/2013,Startup,https://angel.co/company/beeline-bikes,San Carlos,Bicycles,Beeline Bikes,,2600000,Nov-50,Series A,beelinebikes.com,6.123287671,424608.5011,1,0,25,554,947
2/1/2013,Startup,https://angel.co/company/benchbanking,Santiago,Comparison Shopping,BenchBanking,,124500,10-Jan,Seed,benchbanking.com,6.871232877,18119.01914,0,0,5,0,0
11/1/2012,Startup,https://angel.co/company/benefitter,San Francisco,Insurance,Benefitter,,2700000,Nov-50,Seed,benefitter.com,7.123287671,379038.4615,1,0,25,0,0
1/1/2015,Startup,https://angel.co/company/bestmile,San Francisco,Public Transportation,Bestmile,,2500000,Nov-50,Seed,bestmile.com,4.956164384,504422.3328,1,0,25,2152,1398
3/1/2014,Startup,https://angel.co/company/betbox,-,Gambling,BetBox,,100000,10-Jan,Seed,betboxapp.com,5.794520548,17257.68322,0,0,5,15,110
2/1/2012,Startup,https://angel.co/company/betable,San Francisco,Gambling,Betable,,18500000,Nov-50,Series A,developers.betable.com,7.873972603,2349512.874,1,1,25,0,0
1/1/2017,Startup,https://angel.co/company/betolioapp,Sweden,Gambling,Betolio,,436884,10-Jan,Seed,betolio.com,2.953424658,147924.5455,0,0,5,0,0
6/1/2014,Startup,https://angel.co/company/betterup,San Francisco,Corporate Training,BetterUp,,12900000,51-200,Series A,betterup.co,5.542465753,2327483.935,1,1,125,3009,3582
6/1/2015,Startup,https://angel.co/company/betterpress-1,San Diego,Social Media Platforms,Betterpress,,200000,10-Jan,Seed,betterpress.com,4.542465753,44028.95054,0,0,5,366,183
7/1/2011,Startup,https://angel.co/company/beyond-lucid-technologies,Concord,Mobile Emergency&Health,Beyond Lucid Technologies,,639500,10-Jan,Seed,youtube.com,8.463013699,75564.09841,0,0,5,451,301
10/1/2012,Startup,https://angel.co/company/bidaway,San Francisco,Online Auctions,BidAway,,1500000,Nov-50,Seed,bidaway.com,7.208219178,208095.7811,0,0,25,1703,570
2/1/2015,Startup,https://angel.co/company/big-data-for-humans,Singapore,Fast-Moving Consumer Goods,Big Data For Humans,,3600000,Nov-50,Seed,bigdataforhumans.com,4.871232877,739032.6209,1,0,25,3325,3019
12/1/2014,Startup,https://angel.co/company/bildero,Poland,Content Delivery,Bildero,,250000,10-Jan,Seed,bildero.com,5.04109589,49592.3913,0,0,5,0,0
5/1/2016,Startup,https://angel.co/company/billfront-1,London,Finance Technology,BillFront,,36140685,10-Jan,Series A,billfront.com,3.624657534,9970786.111,1,1,5,846,1567
8/1/2013,Startup,https://angel.co/company/billberries,Prague,Online Shopping,Billberries,,500000,10-Jan,Seed,billberries.com,6.375342466,78427.15943,0,0,5,0,0
