,Unnamed: 0,joined,kind,link,location,market,name,,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric,followers,following
2337,2337,6/1/2014,Startup,https://angel.co/company/nowsta,New York City,Temporary Staffing,Nowsta,,12100000,Nov-50,Series A,nowsta.com,5.542465753,2183143.846,1,1,25,187,49
2339,2339,4/1/2014,Startup,https://angel.co/company/nugames-studios-sweden-ab,Malmö,Location Based Services,NuGames Studios Sweden AB,,15000,10-Jan,Seed,takeover.to,5.709589041,2627.159309,0,0,5,61,111
2340,2340,8/1/2015,Startup,https://angel.co/company/nuhabitat,Austin,SaaS,NuHabitat,,187500,10-Jan,Seed,NuHabitat.com,4.375342466,42853.78835,0,0,5,506,734
2341,2341,5/1/2013,Startup,https://angel.co/company/nusomnea,Severna Park,Medical Devices,NuSomnea,,500000,10-Jan,Series A,nusomnea.com,6.62739726,75444.39851,0,0,5,0,0
2342,2342,9/1/2013,Startup,https://angel.co/company/nubity,San Francisco,Cloud Management,Nubity,,505000,Nov-50,Seed,nubity.com,6.290410959,80280.92334,0,0,25,675,406
2343,2343,8/1/2013,Startup,https://angel.co/company/nudge-5,Richmond,Mobile Health,Nudge,,600000,10-Jan,Seed,nudgeyourself.com,6.375342466,94112.59132,0,0,5,0,0
2344,2344,7/1/2014,Startup,https://angel.co/company/nugit,Singapore,Big Data Analytics,Nugit,,5200000,Nov-50,Seed,nugit.co,5.460273973,952333.1661,1,0,25,94,80
2345,2345,5/1/2012,Startup,https://angel.co/company/nuji,London,,Nuji,,1700000,Nov-50,Seed,nuji.com,7.62739726,222880.7471,0,0,25,"4,981","2,173"
2347,2347,3/1/2013,Startup,https://angel.co/company/nurep,Palo Alto,Medical Devices,Nurep,,1800000,10-Jan,Seed,nurep.com,6.794520548,264919.3548,0,0,5,0,0
2348,2348,5/1/2013,Startup,https://angel.co/company/nursebuddy,Tampere,Mobile Health,NurseBuddy,,888000,10-Jan,Seed,nursebuddy.co,6.62739726,133989.2518,0,0,5,"2,117","2,100"
2349,2349,9/1/2014,Startup,https://angel.co/company/nursegrid,Portland,Hospitals,NurseGrid,,3760000,Nov-50,Seed,nursegrid.com,5.290410959,710719.8343,1,0,25,"4,720","1,737"
2350,2350,2/1/2014,Startup,https://angel.co/company/nuvenote,Paris,Mobile Health,Nuvenote,,50000,10-Jan,Seed,nuvenote.com,5.871232877,8516.098927,0,0,5,149,470
2351,2351,5/1/2015,Startup,https://angel.co/company/nvent,San Francisco,Hadoop,Nvent,,2500000,Nov-50,Seed,nventdata.com,4.62739726,540260.5092,1,0,25,191,215
2354,2354,2/1/2014,Startup,https://angel.co/company/ofi-com,Bogota,B2B,OFI,,500000,51-200,Seed,ofi.com.co,5.871232877,85160.98927,0,0,125,64,3
2356,2356,10/1/2013,Startup,https://angel.co/company/okpanda,New York City,Education,OKpanda,,3000000,10-Jan,Seed,okpanda.com,6.208219178,483230.3619,1,0,5,54,2
2357,2357,4/1/2014,Startup,https://angel.co/company/omni-retail-group,Seattle,Semantic Search,OMNI Retail Group,,1750000,10-Jan,Seed,omniretailgroup.com,5.709589041,306501.9194,0,0,5,0,0
2359,2359,9/1/2015,Startup,https://angel.co/company/oocar,Paris,Insurance,OOCAR,,300000,10-Jan,Seed,oocar.com,4.290410959,69923.37165,0,0,5,"1,030",868
